,Fruits,Apple,Gala,1,0.4,10,Yes,,,,,
,Fruits,Apple,Red Delicious,1,0.56,10,Yes,,,,,
,Fruits,Apple,Granny Smith,1,0.42,10,Yes,,,,,
,Fruits,Apple,Fuji,1,0.52,10,Yes,,,,,
,Fruits,Apple,Honeycrisp,1,0.5,10,Yes,,,,,
,Fruits,Apricot,Apricot,1,100,10,Yes,,,,,
,Fruits,Avocados,Hass,1,0.55,10,Yes,,,,,
,Fruits,Avocados,Bacon,1,0.75,10,Yes,,,,,
,Fruits,Avocados,Reed,1,1.125,10,Yes,,,,,
,Fruits,Avocados,Lula,1,0.81,10,Yes,,,,,
,Fruits,Bananas,Dole,1,100,10,Yes,,,,,
,Fruits,Bananas,Chiquita,1,100,10,Yes,,,,,
,Fruits,Bananas,Del Monte,1,100,10,Yes,,,,,
,Fruits,Berries,Naturipe (Blueberry) (per 50),1,0.03,10,Yes,,,,,
,Fruits,Berries,Raspberries (per 50),1,0.33,10,Yes,,,,,
,Fruits,Berries,Blackberries (per 50),1,0.34,10,Yes,,,,,
,Fruits,Cherries,Cherries,1,100,10,Yes,,,,,
,Fruits,Figs,Figs,1,100,10,Yes,,,,,
,Fruits,Grapes,Thompson Seedless/Sultana (per 50),1,0.3,10,Yes,,,,,
,Fruits,Grapes,Concord (per 50),1,0.27,10,Yes,,,,,
,Fruits,Grapes,Crimson Seedless (per 50),1,0.29,10,Yes,,,,,
,Fruits,Grapes,Cotton Candy (per 50),1,0.32,10,Yes,,,,,
,Fruits,Grapes,Moon Drops (per 50),1,0.38,10,Yes,,,,,
,Fruits,Guava,Guava,1,100,10,Yes,,,,,
,Fruits,Kiwis,Kiwis,1,100,10,Yes,,,,,
,Fruits,Lemons,Lisbon,1,0.29,10,Yes,,,,,
,Fruits,Lemons,Eureka,1,0.37,10,Yes,,,,,
,Fruits,Lemons,Meyer,1,0.56,10,Yes,,,,,
,Fruits,Lemons,Bearss,1,0.47,10,Yes,,,,,
,Fruits,Mangoes,Mangoes,1,100,10,Yes,,,,,
,Fruits,Melons,Watermelon,1,35,10,Yes,,,,,
,Fruits,Melons,Cantaloupe,1,3,10,Yes,,,,,
,Fruits,Melons,Honeydew,1,6,10,Yes,,,,,
,Fruits,Oranges,Calamondin,1,0.33,10,Yes,,,,,
,Fruits,Oranges,Cara Cara,1,0.31,10,Yes,,,,,
,Fruits,Oranges,Moro Blood,1,0.35,10,Yes,,,,,
,Fruits,Oranges,Washington Navel,1,0.38,10,Yes,,,,,
,Fruits,Peaches,Babcock,1,0.29,10,Yes,,,,,
,Fruits,Peaches,Donut,1,0.31,10,Yes,,,,,
,Fruits,Peaches,Early Amber,1,0.27,10,Yes,,,,,
,Fruits,Peaches,Arctic Supreme,1,0.32,10,Yes,,,,,
,Fruits,Pears,Bartlett,1,0.35,10,Yes,,,,,
,Fruits,Pears,Bosc,1,0.33,10,Yes,,,,,
,Fruits,Pears,d'Anjou,1,0.36,10,Yes,,,,,
,Fruits,Pineapples,Smoth Cayenne,1,6,10,Yes,,,,,
,Fruits,Pineapples,Red Spanish,1,4,10,Yes,,,,,
,Fruits,Pineapples,Queen,1,2,10,Yes,,,,,
,Fruits,Pineapples,Kona Sugarloaf,1,5,10,Yes,,,,,
,Fruits,Pineapples,Pernambuco,1,3,10,Yes,,,,,
,Fruits,Strawberries,Honeoye (per 50),1,2,10,Yes,,,,,
,Fruits,Strawberries,Earliglow (per 50),1,1.8,10,Yes,,,,,
,Fruits,Strawberries,Allstar (per 50),1,1.9,10,Yes,,,,,
,Fruits,Strawberries,Ozark Beauty (per 50),1,2.1,10,Yes,,,,,
,Fruits,Strawberries,Jewel (per 50),1,1.87,10,Yes,,,,,
,Vegetables,Artichoke,Artichoke,1,100,10,Yes,,,,,
,Vegetables,Asparagus,Green (per 20),1,1,10,Yes,,,,,
,Vegetables,Asparagus,White (per 20),1,0.9,10,Yes,,,,,
,Vegetables,Asparagus,Purple Passion (per 20),1,0.96,10,Yes,,,,,
,Vegetables,Asparagus,Wild (per 20),1,1.1,10,Yes,,,,,
,Vegetables,Asparagus,Jersey Giant (per 20),1,0.99,10,Yes,,,,,
,Vegetables,Green Beans,Bush (per 20),1,0.6,10,Yes,,,,,
,Vegetables,Green Beans,Pole (per 20),1,0.67,10,Yes,,,,,
,Vegetables,Green Beans,Runner (per 20),1,0.64,10,Yes,,,,,
,Vegetables,Green Beans,Long (per 20),1,0.63,10,Yes,,,,,
,Vegetables,Beetroot,Beetroot ,1,100,10,Yes,,,,,
,Vegetables,Broccoli,Broccoli ,1,100,10,Yes,,,,,
,Vegetables,Brussel Sprouts,Brussel Sprouts,1,100,10,Yes,,,,,
,Vegetables,Cabbages,Cabbages,1,100,10,Yes,,,,,
,Vegetables,Carrots,Imperator,1,0.17,10,Yes,,,,,
,Vegetables,Carrots,Danvers,1,0.18,10,Yes,,,,,
,Vegetables,Carrots,Nantes,1,0.2,10,Yes,,,,,
,Vegetables,Carrots,Chantenay,1,0.16,10,Yes,,,,,
,Vegetables,Cauliflower,Cauliflower,1,100,10,Yes,,,,,
,Vegetables,Celery,Leaf,1,1,10,Yes,,,,,
,Vegetables,Celery,Celeriac,1,1.1,10,Yes,,,,,
